Name,Homepage
"0-ad","https://play0ad.com/"
"actual","https://actualbudget.org/"
"adobe-acrobat-reader","https://www.adobe.com/acrobat/pdf-reader.html"
"advantagescope","https://docs.advantagescope.org/"
"affinity","https://www.affinity.studio/"
"airtable","https://airtable.com/"
"aladin","https://aladin.cds.unistra.fr/AladinDesktop/"
"alfred","https://www.alfredapp.com/"
"algoapp","https://www.ankiapp.com/"
"algodoo","https://www.algodoo.com/"
"alienator88-sentinel","https://itsalin.com/appInfo/?id=sentinel"
"alifix","https://eclecticlight.co/taccy-signet-precize-alifix-utiutility-alisma/"
"alisma","https://eclecticlight.co/taccy-signet-precize-alifix-utiutility-alisma/"
"alt-tab","https://alt-tab-macos.netlify.app/"
"altair-graphql-client","https://altairgraphql.dev/"
"altserver","https://altstore.io/"
"amical","https://amical.ai/"
"anaconda","https://www.anaconda.com/"
"android-commandlinetools","https://developer.android.com/studio"
"android-platform-tools","https://developer.android.com/tools/releases/platform-tools"
"android-studio","https://developer.android.com/studio/"
"anki","https://apps.ankiweb.net/"
"another-redis-desktop-manager","https://github.com/qishibo/AnotherRedisDesktopManager/"
"antconc","https://www.laurenceanthony.net/software/antconc/"
"antigravity","https://antigravity.google/"
"anythingllm","https://anythingllm.com/"
"anytype","https://anytype.io/"
"apache-couchdb","https://couchdb.apache.org/"
"apparency","https://www.mothersruin.com/software/Apparency/"
"appcleaner","https://freemacsoft.net/appcleaner/"
"appexindexer","https://eclecticlight.co/2025/04/10/discover-appexes-with-appexindexer/"
"appflowy","https://www.appflowy.io/"
"applite","https://aerolite.dev/applite"
"approf","https://github.com/moderato-app/approf"
"arc","https://arc.net/"
"archaeology","https://www.mothersruin.com/software/Archaeology/"
"archipelago","https://github.com/npezza93/archipelago"
"arduino-ide","https://www.arduino.cc/en/software"
"asciidocfx","https://www.asciidocfx.com/"
"asset-catalog-tinkerer","https://github.com/insidegui/AssetCatalogTinkerer"
"astro-editor","https://astroeditor.danny.is/"
"athas","https://athas.dev/"
"atuin-desktop","https://atuin.sh/"
"audacity","https://www.audacityteam.org/"
"auto-claude","https://github.com/AndyMik90/Auto-Claude/"
"avast-secure-browser","https://www.avast.com/secure-browser#mac"
"aws-vault-binary","https://github.com/99designs/aws-vault"
"azookey","https://github.com/azooKey/azooKey-Desktop"
"balance-lock","https://www.tunabellysoftware.com/balance_lock"
"balenaetcher","https://balena.io/etcher"
"bananas","https://getbananas.net/"
"banksiagui","https://banksiagui.com/"
"bdash","https://github.com/bdash-app/bdash"
"bean","https://www.bean-osx.com/Bean.html"
"beaver-notes","https://beavernotes.com/"
"beekeeper-studio","https://www.beekeeperstudio.io/"
"beeper","https://www.beeper.com/"
"bettercapture","https://bettercapture.app/"
"beutl","https://beutl.beditor.net/"
"bibdesk","https://bibdesk.sourceforge.io/"
"biglybt","https://www.biglybt.com/"
"bindiff","https://zynamics.com/bindiff.html"
"birdfont","https://birdfont.org/"
"biscuit","https://eatbiscuit.com/"
"bit-slicer","https://github.com/zorgiepoo/bit-slicer/"
"bitcoin-core","https://bitcoincore.org/"
"bitwarden","https://bitwarden.com/"
"blankie","https://blankie.rest/"
"blender","https://www.blender.org/"
"blender-benchmark","https://opendata.blender.org/"
"block-goose","https://block.github.io/goose/"
"blockbench","https://www.blockbench.net/"
"blockblock","https://objective-see.org/products/blockblock.html"
"bluej","https://www.bluej.org/"
"bluetility","https://github.com/jnross/Bluetility"
"bonjeff","https://github.com/lapcat/Bonjeff"
"boop","https://boop.okat.best/"
"brave-browser","https://brave.com/"
"breaktimer","https://breaktimer.app/"
"brewy","https://github.com/p-linnane/Brewy"
"brilliant","https://try-brilliant.com/"
"browseros","https://www.browseros.com/"
"bunch","https://bunchapp.co/"
"burn","https://burn-osx.sourceforge.io/"
"cables","https://github.com/cables-gl/cables_electron"
"cad-assistant","https://www.opencascade.com/products/cad-assistant/"
"caffeine","https://intelliscapesolutions.com/apps/caffeine"
"calcservice","https://www.devontechnologies.com/apps/freeware"
"calendr","https://github.com/pakerwreah/Calendr"
"calhash","https://www.titanium-software.fr/en/calhash.html"
"calibre","https://calibre-ebook.com/"
"canva","https://www.canva.com/"
"capacities","https://capacities.io/"
"capcut","https://www.capcut.com/"
"captain","https://getcaptain.co/"
"cardinal","https://github.com/DISTRHO/Cardinal"
"cardinal-search","https://github.com/cardisoft/Cardinal"
