Name,Homepage
"115browser","https://pc.115.com/browser.html#mac"
"5ire","https://5ire.app/"
"5kplayer","https://www.5kplayer.com/"
"adrive","https://www.aliyundrive.com/"
"agent-tars","https://github.com/bytedance/UI-TARS-desktop"
"aifun","https://getaifun.com/"
"aigcpanel","https://aigcpanel.com/"
"aionui","https://github.com/iOfficeAI/AionUi"
"aliworkbench","https://work.taobao.com/"
"alma","https://alma.now/"
"ankerwork","https://us.ankerwork.com/pages/download-software"
"apidog-europe","https://apidog.com/"
"apidog","https://apidog.com/"
"apifox","https://github.com/apifox/apifox"
"apipost","https://www.apipost.cn/"
"awesun","https://sunlogin.oray.com/"
"aws-vpn-client","https://aws.amazon.com/vpn/"
"aya","https://aya.liriliri.io/"
"baiduinput","https://srf.baidu.com/input/mac.html"
"baidunetdisk","https://pan.baidu.com/"
"bambu-studio","https://bambulab.com/en/download/studio"
"baoliandeng","https://madeye.github.io/BaoLianDeng/"
"bbackupp","https://github.com/Lakr233/BBackupp"
"bcut","https://bcut.bilibili.cn/"
"betterandbetter","https://www.better365.cn/bab2.html"
"bilibili","https://app.bilibili.com/"
"binance","https://binance.com/"
"bobhelper","https://bobtranslate.com/guide/advance/bobhelper.html"
"cc-switch","https://github.com/farion1231/cc-switch"
"chatall","https://github.com/sunner/ChatALL"
"chatbox","https://chatboxai.app/en"
"chatglm","https://chatglm.cn/"
"cherry-studio","https://cherry-ai.com/"
"choice-financial-terminal","https://choice.eastmoney.com/"
"clash-mi","https://github.com/KaringX/clashmi"
"clash-party","https://clashparty.org/"
"clash-verge-rev","https://clash-verge-rev.github.io/"
"claudebar","https://github.com/tddworks/ClaudeBar"
"cleanmymac-zh","https://www.mycleanmymac.com/"
"cleanmymac","https://macpaw.com/cleanmymac"
"cloudnet","https://cloudnet.world/"
"codebuddy-cn","https://copilot.tencent.com/ide/"
"codebuddy","https://www.codebuddy.ai/ide/"
"crosspaste","https://crosspaste.com/en/"
"deepchat","https://deepchat.thinkinai.xyz/"
"dehelper","https://www.eudic.net/v4/de/app/dehelper"
"dingtalk","https://www.dingtalk.com/"
"doll","https://github.com/xiaogdgenuine/Doll/"
"doubao","https://www.doubao.com/chat/"
"douyin-chat","https://www.douyin.com/downloadpage/chat"
"douyin","https://www.douyin.com/"
"easydict","https://github.com/tisfeng/Easydict/"
