Name,Homepage
"adobe-digital-editions","https://www.adobe.com/solutions/ebook/digital-editions.html"
"adobe-dng-converter","https://helpx.adobe.com/camera-raw/using/adobe-dng-converter.html"
"amazon-music","https://www.amazon.com/musicapps"
"beast2","https://www.beast2.org/"
"fpc-src-laz","https://www.lazarus-ide.org/"
"fuse","https://fuse-open.github.io/"
"fx-cast-bridge","https://hensm.github.io/fx_cast/"
"geph","https://geph.io/en"
"gephi","https://gephi.org/"
"gfxcardstatus","https://gfx.io/"
"google-earth-pro","https://www.google.com/earth/"
"guijs","https://guijs.dev/"
"isabelle","https://www.cl.cam.ac.uk/research/hvg/Isabelle/"
"jd-gui","https://java-decompiler.github.io/"
"jgrasp","https://jgrasp.org/"
"klayout","https://www.klayout.de/"
"magicavoxel","https://ephtracy.github.io/"
"mbed-studio","https://os.mbed.com/studio/"
"mega","https://megasoftware.net/"
"opensong","https://www.opensong.org/"
"opentoonz","https://opentoonz.github.io/e/index.html"
"pingnoo","https://www.pingnoo.com/"
"playonmac","https://www.playonmac.com/"
"react-proto","https://react-proto.github.io/react-proto"
"remoteviewer","https://www.spice-space.org/osx-client.html"
"solar2d","https://solar2d.com/"
"storyboarder","https://wonderunit.com/storyboarder/"
"tau","https://www.cs.uoregon.edu/research/tau/home.php"
"thinkorswim","https://www.schwab.com/trading/thinkorswim/desktop"
